"Subject" "Date" "Unique_ID" "Cell_Type" "Contrast_Agent" "Protocol" "Parameter" "Statistic" "Value"
"227" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.71
"228" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 0.89
"229" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 65.1
"230" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 4.64
"231" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 58
"232" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 73.5
"233" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.58
"234" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.38
"235" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 4.41
"236" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.26
"237" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.83
"238" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.078
"239" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.72
"240" "Maik" "030217" "Maik030217NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 0.98
"241" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 66.8
"242" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 6.1
"243" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 58.1
"244" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 77.8
"245" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 6.87
"246" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.68
"247" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 4.15
"248" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 9.58
"249" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.83
"250" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.16
"251" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.7
"252" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.02
"253" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 65.6
"254" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 5.16
"255" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 58.2
"256" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 74.6
"257" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.58
"258" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.57
"259" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 4.21
"260" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.34
"261" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.84
"262" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.1
"263" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.71
"264" "AngelaS" "030317" "AngelaS030317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.01
"265" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 65.7
"266" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 5.45
"267" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 58.5
"268" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 75.6
"269" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 6.43
"270" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.83
"271" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 3.4
"272" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 9.57
"273" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.86
"274" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.18
"275" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.7
"276" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.15
"277" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 66.8
"278" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 6.06
"279" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 58
"280" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 77.3
"281" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.04
"282" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.82
"283" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 3.16
"284" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.17
"285" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.9
"286" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.14
"287" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.73
"288" "Gela" "061317" "Gela061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.18
"289" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 65.1
"290" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 5.33
"291" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 57.3
"292" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 75
"293" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 5.8
"294" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.87
"295" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 2.86
"296" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 9.12
"297" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.92
"298" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.25
"299" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.72
"300" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.26
"301" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 68.5
"302" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 5.76
"303" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 59.7
"304" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 78.8
"305" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.48
"306" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.82
"307" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 3.59
"308" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.44
"309" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.87
"310" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.14
"311" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.72
"312" "Maik" "061317" "Maik061317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.12
"313" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 63
"314" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 5.05
"315" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 56.5
"316" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 72.1
"317" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 4.74
"318" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.55
"319" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 2.75
"320" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 7.94
"321" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.99
"322" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.17
"323" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.75
"324" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.27
"325" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 65.3
"326" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 5.09
"327" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 58.2
"328" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 74.4
"329" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.18
"330" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.42
"331" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 4.03
"332" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 8.88
"333" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.86
"334" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.1
"335" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.73
"336" "Gela" "090417" "Gela090417NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.04
"337" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 64.4
"338" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 6.64
"339" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 56.6
"340" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 76.5
"341" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 5.45
"342" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.91
"343" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 2.55
"344" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 8.99
"345" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.95
"346" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.21
"347" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.71
"348" "Martin" "111317" "Martin111317NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.35
"349" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 67.5
"350" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 9.74
"351" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 55.7
"352" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 87.1
"353" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 4.57
"354" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.83
"355" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 2.23
"356" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 8.74
"357" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 1.07
"358" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.23
"359" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.74
"360" "Martin" "000000" "Martin000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.46
"361" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "Mean" 64.4
"362" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "SD" 6.11
"363" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "5%" 56.4
"364" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Area" "95%" 74.7
"365" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "Mean" 5.38
"366" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "SD" 1.87
"367" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "5%" 2.7
"368" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "Deformation" "95%" 8.76
"369" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "Mean" 0.95
"370" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "SD" 0.19
"371" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "5%" 0.73
"372" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Control" "E" "95%" 1.31
"373" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "Mean" 66
"374" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "SD" 5.6
"375" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "5%" 57.8
"376" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Area" "95%" 75.7
"377" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "Mean" 6.22
"378" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "SD" 1.79
"379" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "5%" 3.32
"380" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "Deformation" "95%" 9.3
"381" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "Mean" 0.87
"382" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "SD" 0.14
"383" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "5%" 0.72
"384" "Philip" "000000" "Philip000000NeutrophilsDotarem" "Neutrophils" "Dotarem" "Treatment" "E" "95%" 1.14
"385" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 63.3
"386" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 4.99
"387" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 56.7
"388" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 72.4
"389" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 5.07
"390" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 1.73
"391" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.82
"392" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 8.92
"393" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 0.96
"394" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.16
"395" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.72
"396" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.25
"397" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 66.3
"398" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 6.45
"399" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 56.5
"400" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 78.4
"401" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 4.74
"402" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.64
"403" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 2.6
"404" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 7.82
"405" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 1.02
"406" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.2
"407" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.78
"408" "Gela" "061317" "Gela061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.37
"409" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 65.6
"410" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 4.63
"411" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 58.4
"412" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 73.6
"413" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 5.16
"414" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 1.67
"415" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.89
"416" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 8.41
"417" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 0.97
"418" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.2
"419" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.75
"420" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.24
"421" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 64.8
"422" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 5.24
"423" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "5%" 56.4
"424" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "95%" 73.5
"425" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "Mean" 4.66
"426" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "SD" 1.63
"427" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "5%" 2.6
"428" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Deformation" "95%" 8.17
"429" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "Mean" 1.02
"430" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "SD" 0.18
"431" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "5%" 0.77
"432" "Maik" "061317" "Maik061317MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "E" "95%" 1.33
"433" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "Mean" 64.9
"434" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "SD" 5.06
"435" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "5%" 57.7
"436" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Area" "95%" 73.9
"437" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "Mean" 3.93
"438" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "SD" 1.39
"439" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "5%" 2.31
"440" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "Deformation" "95%" 6.78
"441" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "Mean" 1.12
"442" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "SD" 0.2
"443" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "5%" 0.82
"444" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Control" "E" "95%" 1.45
"445" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "Mean" 66.7
"446" "Gela" "090417" "Gela090417MonocytesGadovist" "Monocytes" "Gadovist" "Treatment" "Area" "SD" 5.15
